key;mes;año;pasajeros;suv;camioneta;comercial
Enero2018;Enero;2018;14060;12573;5336;3353
Febrero2018;Febrero;2018;11817;10721;4419;2470
Marzo2018;Marzo;2018;13458;11281;5370;3246
Abril2018;Abril;2018;14736;11669;5566;3499
Mayo2018;Mayo;2018;14211;12018;5919;3180
Junio2018;Junio;2018;13153;11316;5496;3263
Julio2018;Julio;2018;12501;11473;4762;2549
Agosto2018;Agosto;2018;16432;14429;5016;2852
Septiembre2018;Septiembre;2018;14468;15382;6254;3159
Octubre2018;Octubre;2018;14834;12933;6181;3184
Noviembre2018;Noviembre;2018;12711;11679;5958;3170
Diciembre2018;Diciembre;2018;13447;12596;5596;3342
Enero2019;Enero;2019;14236;13413;5805;3089
Febrero2019;Febrero;2019;10710;10126;4482;2594
Marzo2019;Marzo;2019;11461;10384;5275;3079
Abril2019;Abril;2019;12788;11588;5461;2879
Mayo2019;Mayo;2019;11938;11634;5057;2575
Junio2019;Junio;2019;10853;10430;4820;2343
Julio2019;Julio;2019;12157;11628;5016;2673
Agosto2019;Agosto;2019;13361;13013;4467;2218
Septiembre2019;Septiembre;2019;13427;15397;6305;2796
Octubre2019;Octubre;2019;10172;9873;5355;2638
Noviembre2019;Noviembre;2019;8941;8688;4652;1991
Diciembre2019;Diciembre;2019;11673;11129;5441;2847
Enero2020;Enero;2020;11756;12040;5649;2659
Febrero2020;Febrero;2020;8838;9835;3806;2549
Marzo2020;Marzo;2020;6702;7112;2986;2256
Abril2020;Abril;2020;2945;2752;1735;1474
Mayo2020;Mayo;2020;2837;2502;2145;1197
Junio2020;Junio;2020;2728;2777;1820;1646
Julio2020;Julio;2020;3315;3855;2416;1878
Agosto2020;Agosto;2020;6878;7114;2841;2024
Septiembre2020;Septiembre;2020;11596;12880;4938;2483
Octubre2020;Octubre;2020;12728;14812;6021;2682
Noviembre2020;Noviembre;2020;10542;10470;5876;2598
Diciembre2020;Diciembre;2020;9029;11181;4911;2841
Enero2021;Enero;2021;9151;9569;3790;2474
Febrero2021;Febrero;2021;7966;9415;3857;3254
Marzo2021;Marzo;2021;9956;13510;5170;3875
Abril2021;Abril;2021;6273;13089;4201;3678
Mayo2021;Mayo;2021;9417;14664;6310;3739
Junio2021;Junio;2021;11323;13682;6642;3852
Julio2021;Julio;2021;12301;15859;6524;3542
Agosto2021;Agosto;2021;10267;17319;6185;3793
Septiembre2021;Septiembre;2021;10723;19287;8639;3978
Octubre2021;Octubre;2021;10869;15652;7841;4189
Noviembre2021;Noviembre;2021;10772;15987;6606;5613
Diciembre2021;Diciembre;2021;12354;16245;7605;4572
Enero2022;Enero;2022;10649;14453;7208;4971
Febrero2022;Febrero;2022;7313;14690;5905;3837
Marzo2022;Marzo;2022;10560;18809;7710;4388
Abril2022;Abril;2022;9621;17217;6738;4291
Mayo2022;Mayo;2022;9487;17422;6782;4196
Junio2022;Junio;2022;9294;16415;7061;3436
Julio2022;Julio;2022;9103;17122;8427;3654
Agosto2022;Agosto;2022;9487;15305;7006;3220
Septiembre2022;Septiembre;2022;9544;15777;8544;2853
Octubre2022;Octubre;2022;5865;12917;6966;2894
Noviembre2022;Noviembre;2022;7105;14605;6765;3233
Diciembre2022;Diciembre;2022;7158;14741;8446;3587
Enero2023;Enero;2023;5760;12244;6867;2746
Febrero2023;Febrero;2023;5216;10922;6931;3151
Marzo2023;Marzo;2023;6907;13399;11457;5797
Abril2023;Abril;2023;4988;9385;3172;1977
Mayo2023;Mayo;2023;5680;11982;5279;2675
Junio2023;Junio;2023;9294;16415;7061;3436
Julio2023;Julio;2023;9130;17122;8427;3654
