key;mes;año;fuerza_trabajo;desocupados
Enero2018;Enero;2018;9438,12;644,19
Febrero2018;Febrero;2018;9449,49;662,41
Marzo2018;Marzo;2018;9456,61;697,53
Abril2018;Abril;2018;9441,4;660,31
Mayo2018;Mayo;2018;9465,33;698,68
Junio2018;Junio;2018;9466,86;711,31
Julio2018;Julio;2018;9450,97;742,23
Agosto2018;Agosto;2018;9435,53;728,34
Septiembre2018;Septiembre;2018;9414,17;703,27
Octubre2018;Octubre;2018;9476,2;702,37
Noviembre2018;Noviembre;2018;9525,41;696,41
Diciembre2018;Diciembre;2018;9600,33;686,08
Enero2019;Enero;2019;9613,34;685,39
Febrero2019;Febrero;2019;9581,64;674
Marzo2019;Marzo;2019;9571,75;692,64
Abril2019;Abril;2019;9597,06;681,04
Mayo2019;Mayo;2019;9621,1;695,82
Junio2019;Junio;2019;9620,46;697,85
Julio2019;Julio;2019;9638,1;727,55
Agosto2019;Agosto;2019;9659,44;731,39
Septiembre2019;Septiembre;2019;9712,74;712,65
Octubre2019;Octubre;2019;9686,05;691,69
Noviembre2019;Noviembre;2019;9722,05;676,68
Diciembre2019;Diciembre;2019;9777,75;690,62
Enero2020;Enero;2020;9848,69;733,05
Febrero2020;Febrero;2020;9831,25;767,87
Marzo2020;Marzo;2020;9744,23;801,8
Abril2020;Abril;2020;9050,66;814,73
Mayo2020;Mayo;2020;8390,88;940,36
Junio2020;Junio;2020;8136,7;994,13
Julio2020;Julio;2020;8138,64;1065,45
Agosto2020;Agosto;2020;8257,21;1065,8
Septiembre2020;Septiembre;2020;8402,64;1037,58
Octubre2020;Octubre;2020;8671,57;1003,91
Noviembre2020;Noviembre;2020;8871,08;954,35
Diciembre2020;Diciembre;2020;8946,48;920,26
Enero2021;Enero;2021;9046,63;925,21
Febrero2021;Febrero;2021;9105,95;938,32
Marzo2021;Marzo;2021;9089,29;941,09
Abril2021;Abril;2021;9029,1;924,97
Mayo2021;Mayo;2021;8938,27;897,16
Junio2021;Junio;2021;8884,95;843,76
Julio2021;Julio;2021;8948,33;799,38
Agosto2021;Agosto;2021;9030,68;771,9
Septiembre2021;Septiembre;2021;9111,08;765,84
Octubre2021;Octubre;2021;9199,52;743,01
Noviembre2021;Noviembre;2021;9255,05;696,69
Diciembre2021;Diciembre;2021;9350,58;672,3
Enero2022;Enero;2022;9396,13;683,24
Febrero2022;Febrero;2022;9479,46;710,82
Marzo2022;Marzo;2022;9541,6;744,04
Abril2022;Abril;2022;9577,49;742,02
Mayo2022;Mayo;2022;9604,62;749,54
Junio2022;Junio;2022;9587,35;748,91
Julio2022;Julio;2022;9610,9;761,07
Agosto2022;Agosto;2022;9615,77;762,47
Septiembre2022;Septiembre;2022;9616,73;773,19
Octubre2022;Octubre;2022;9637,26;767,93
Noviembre2022;Noviembre;2022;9650,16;767,07
Diciembre2022;Diciembre;2022;9730,3;765,07
Enero2023;Enero;2023;9795,86;787,32
Febrero2023;Febrero;2023;9854,77;824,61
Marzo2023;Marzo;2023;9876,08;869,93
Abril2023;Abril;2023;9860,63;853,9
Mayo2023;Mayo;2023;9876,14;841,91
Junio2023;Junio;2023;9877,41;842,3
