key;mes;año;indice_ipc
Enero2018;Enero;2018;98,57
Febrero2018;Febrero;2018;98,62
Marzo2018;Marzo;2018;98,82
Abril2018;Abril;2018;99,13
Mayo2018;Mayo;2018;99,41
Junio2018;Junio;2018;99,51
Julio2018;Julio;2018;99,86
Agosto2018;Agosto;2018;100,04
Septiembre2018;Septiembre;2018;100,38
Octubre2018;Octubre;2018;100,74
Noviembre2018;Noviembre;2018;100,74
Diciembre2018;Diciembre;2018;100,64
Enero2019;Enero;2019;100,75
Febrero2019;Febrero;2019;100,79
Marzo2019;Marzo;2019;101,27
Abril2019;Abril;2019;101,54
Mayo2019;Mayo;2019;102,15
Junio2019;Junio;2019;102,2
Julio2019;Julio;2019;102,43
Agosto2019;Agosto;2019;102,62
Septiembre2019;Septiembre;2019;102,63
Octubre2019;Octubre;2019;103,47
Noviembre2019;Noviembre;2019;103,55
Diciembre2019;Diciembre;2019;103,66
Enero2020;Enero;2020;104,24
Febrero2020;Febrero;2020;104,71
Marzo2020;Marzo;2020;105,06
Abril2020;Abril;2020;105,01
Mayo2020;Mayo;2020;104,96
Junio2020;Junio;2020;104,89
Julio2020;Julio;2020;104,99
Agosto2020;Agosto;2020;105,13
Septiembre2020;Septiembre;2020;105,8
Octubre2020;Octubre;2020;106,52
Noviembre2020;Noviembre;2020;106,38
Diciembre2020;Diciembre;2020;106,74
Enero2021;Enero;2021;107,49
Febrero2021;Febrero;2021;107,69
Marzo2021;Marzo;2021;108,09
Abril2021;Abril;2021;108,5
Mayo2021;Mayo;2021;108,79
Junio2021;Junio;2021;108,88
Julio2021;Julio;2021;109,76
Agosto2021;Agosto;2021;110,15
Septiembre2021;Septiembre;2021;111,45
Octubre2021;Octubre;2021;112,94
Noviembre2021;Noviembre;2021;113,51
Diciembre2021;Diciembre;2021;114,39
Enero2022;Enero;2022;115,77
Febrero2022;Febrero;2022;116,1
Marzo2022;Marzo;2022;118,26
Abril2022;Abril;2022;119,91
Mayo2022;Mayo;2022;121,35
Junio2022;Junio;2022;122,48
Julio2022;Julio;2022;124,16
Agosto2022;Agosto;2022;125,67
Septiembre2022;Septiembre;2022;126,75
Octubre2022;Octubre;2022;127,41
Noviembre2022;Noviembre;2022;128,65
Diciembre2022;Diciembre;2022;129,02
Enero2023;Enero;2023;130,05
Febrero2023;Febrero;2023;129,97
Marzo2023;Marzo;2023;131,38
Abril2023;Abril;2023;131,79
Mayo2023;Mayo;2023;131,94
Junio2023;Junio;2023;131,74
Julio2023;Julio;2023;132,20

